idx;temp_match;token
0;4.1073313;sos/OTHER_a/DET_man/NOUN_take/VERB_a/DET_step/NOUN_forward/ADV_while/SCONJ_hold/VERB_an/DET_object/NOUN_to/ADP_his/PRON_head/NOUN_with/ADP_his/PRON_right/ADJ_hand/NOUN_use/VERB_his/PRON_leg/NOUN_for/ADP_stepping/NOUN_and/CCONJ_arm/NOUN_muscle/NOUN_for/ADP_hold/VERB_the/DET_object/NOUN_steady/ADJ_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
1;3.3528006;sos/OTHER_a/DET_person/NOUN_is/AUX_clap/VERB_their/PRON_hand/NOUN_together/ADV_their/PRON_arm/NOUN_move/NOUN_towards/ADP_each/DET_other/ADJ_and/CCONJ_then/ADV_apart/ADV_in/ADP_a/DET_clapping/NOUN_motion/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
2;3.2292027;sos/OTHER_a/DET_man/NOUN_crouch/NOUN_and/CCONJ_punch/VERB_the/DET_air/NOUN_with/ADP_his/PRON_left/ADJ_hand/NOUN_bend/VERB_his/PRON_knee/NOUN_and/CCONJ_use/VERB_his/PRON_torso/NOUN_to/PART_generate/VERB_power/NOUN_while/SCONJ_punch/VERB_the/DET_air/NOUN_with/ADP_a/DET_forceful/ADJ_motion/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
3;2.9892359;sos/OTHER_a/DET_man/NOUN_is/AUX_lift/VERB_his/PRON_left/ADJ_arm/NOUN_the/DET_left/ADJ_arm/NOUN_is/AUX_being/AUX_raise/VERB_upwards/ADV_by/ADP_the/DET_man/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
4;2.840338;sos/OTHER_a/DET_person/NOUN_jog/VERB_diagonally/ADV_to/ADP_his/PRON_right/NOUN_and/CCONJ_then/ADV_slow/VERB_down/ADP_to/ADP_a/DET_walk/NOUN_jog/VERB_with/ADP_a/DET_diagonal/ADJ_forward/ADJ_movement/NOUN_to/ADP_the/DET_right/NOUN_then/ADV_transition/VERB_to/ADP_a/DET_slower/ADJ_walking/NOUN_pace/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
5;1.790563;sos/OTHER_person/NOUN_appear/VERB_to/PART_be/AUX_run/VERB_in/ADP_straight/ADJ_line/NOUN_then/ADV_jump/VERB_over/ADP_something/PRON_and/CCONJ_continue/VERB_run/VERB_leg/NOUN_move/VERB_swiftly/ADV_in/ADP_a/DET_run/VERB_motion/NOUN_then/ADV_push/VERB_off/ADP_the/DET_ground/NOUN_for/ADP_a/DET_leap/NOUN_over/ADP_an/DET_obstacle/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
6;4.390974;sos/OTHER_person/NOUN_walk/VERB_quickly/ADV_down/ADP_a/DET_short/ADJ_incline/NOUN_the/DET_leg/NOUN_may/AUX_move/VERB_faster/ADV_than/ADP_usual/ADJ_to/PART_maintain/VERB_balance/NOUN_while/SCONJ_descend/VERB_the/DET_arm/NOUN_may/AUX_stretch/VERB_out/ADP_to/ADP_the/DET_side/NOUN_for/ADP_stability/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
7;2.8205504;sos/OTHER_a/DET_figure/NOUN_walk/VERB_forward/ADV_lightly/ADV_kick/VERB_one/NUM_foot/NOUN_out/ADP_the/DET_foot/NOUN_is/AUX_lift/VERB_slightly/ADV_and/CCONJ_extend/VERB_forward/ADV_in/ADP_a/DET_kicking/NOUN_motion/NOUN_while/SCONJ_walk/VERB_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
8;5.124833;sos/OTHER_a/DET_man/NOUN_jump/VERB_from/ADP_left/VERB_to/ADP_right/NOUN_utilize/VERB_their/PRON_leg/NOUN_muscle/NOUN_to/PART_push/VERB_off/ADP_the/DET_ground/NOUN_and/CCONJ_switch/NOUN_direction/NOUN_their/PRON_arm/NOUN_may/AUX_assist/VERB_in/ADP_the/DET_movement/NOUN_to/PART_help/VERB_with/ADP_balance/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
9;5.0084996;sos/OTHER_a/DET_person/NOUN_is/AUX_stand/VERB_and/CCONJ_lose/VERB_his/PRON_balance/NOUN_almost/ADV_fall/VERB_but/CCONJ_catch/VERB_himself/PRON_their/PRON_leg/NOUN_shift/VERB_cause/VERB_imbalance/NOUN_but/CCONJ_they/PRON_manage/VERB_to/PART_regain/VERB_stability/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
