idx;temp_match;token
0;3.7263834;sos/OTHER_a/DET_man/NOUN_take/VERB_a/DET_step/NOUN_forward/ADV_while/SCONJ_hold/VERB_an/DET_object/NOUN_against/ADP_his/PRON_head/NOUN_with/ADP_his/PRON_right/ADJ_hand/NOUN_The/DET_man/NOUN_maintain/VERB_a/DET_steady/ADJ_pace/NOUN_while/SCONJ_coordinate/VERB_his/PRON_leg/NOUN_movement/NOUN_to/PART_support/VERB_the/DET_forward/ADJ_motion/NOUN_all/PRON_while/SCONJ_keep/VERB_the/DET_object/NOUN_steady/ADJ_with/ADP_his/PRON_right/ADJ_arm/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
1;6.122361;sos/OTHER_a/DET_person/NOUN_is/AUX_clap/VERB_their/PRON_hand/NOUN_together/ADV_in/ADP_a/DET_rhythmic/ADJ_pattern/NOUN_with/ADP_their/PRON_arm/NOUN_extend/VERB_and/CCONJ_retract/VERB_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
2;3.7565272;sos/OTHER_a/DET_man/NOUN_adopt/VERB_a/DET_crouch/VERB_position/NOUN_and/CCONJ_deliver/VERB_air/NOUN_punch/NOUN_with/ADP_his/PRON_left/ADJ_hand/NOUN_in/ADP_a/DET_swift/ADJ_motion/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
3;6.3255243;sos/OTHER_a/DET_man/NOUN_is/AUX_lift/VERB_his/PRON_left/ADJ_arm/NOUN_raise/VERB_it/PRON_slowly/ADV_to/PART_shoulder/VERB_level/NOUN_before/ADP_gently/ADV_lower/VERB_it/PRON_back/ADV_down/ADV_This/DET_action/NOUN_involve/VERB_a/DET_coordinated/ADJ_effort/NOUN_of/ADP_the/DET_left/ADJ_arm/NOUN_muscle/NOUN_to/PART_execute/VERB_the/DET_movement/NOUN_effectively/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
4;2.2626934;sos/OTHER_a/DET_person/NOUN_jog/VERB_diagonally/ADV_to/ADP_his/PRON_right/NOUN_by/ADP_run/VERB_at/ADP_an/DET_angle/NOUN_with/ADP_arm/NOUN_swinge/VERB_at/ADP_the/DET_side/NOUN_then/ADV_slow/VERB_down/ADP_to/ADP_a/DET_walk/NOUN_by/ADP_reduce/VERB_the/DET_pace/NOUN_and/CCONJ_transition/VERB_to/ADP_a/DET_walk/VERB_speed/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
5;3.3488069;sos/OTHER_person/NOUN_appear/VERB_to/PART_be/AUX_run/VERB_in/ADP_a/DET_straight/ADJ_line/NOUN_by/ADP_repeatedly/ADV_lift/VERB_and/CCONJ_extend/VERB_both/DET_leg/NOUN_then/ADV_perform/VERB_a/DET_powerful/ADJ_leap/NOUN_over/ADP_an/DET_obstacle/NOUN_before/ADP_continue/VERB_to/PART_run/VERB_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
6;1.9093893;sos/OTHER_a/DET_person/NOUN_walk/VERB_quickly/ADV_down/ADP_a/DET_short/ADJ_incline/NOUN_by/ADP_take/VERB_fast/ADJ_and/CCONJ_steady/ADJ_step/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
7;6.317988;sos/OTHER_a/DET_figure/NOUN_walk/VERB_forward/ADV_lightly/ADV_kick/VERB_one/NUM_foot/NOUN_out/ADP_with/ADP_a/DET_smooth/ADJ_swing/NOUN_of/ADP_the/DET_arm/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
8;5.616859;sos/OTHER_a/DET_man/NOUN_jump/VERB_from/ADP_left/VERB_to/ADP_right/NOUN_by/ADP_propel/VERB_himself/PRON_from/ADP_the/DET_ground/NOUN_to/ADP_the/DET_left/ADJ_side/NOUN_and/CCONJ_land/VERB_on/ADP_the/DET_right/ADJ_side/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
9;3.313451;sos/OTHER_a/DET_person/NOUN_is/AUX_stand/VERB_and/CCONJ_lose/VERB_his/PRON_balance/NOUN_almost/ADV_fall/VERB_but/CCONJ_catch/VERB_himself/PRON_by/ADP_quickly/ADV_shift/VERB_their/PRON_weight/NOUN_and/CCONJ_adjust/VERB_their/PRON_stance/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
