temp_R;temp_match;R_precision;matching_score_pred;token
[1];3.061639;[1];3.0616390705108643;sos/OTHER_a/DET_man/NOUN_step/VERB_forward/ADV_hold/VERB_an/DET_object/NOUN_to/ADP_his/PRON_head/NOUN_with/ADP_his/PRON_right/ADJ_hand/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_shift/VERB_his/PRON_eos/OTHER
[1];3.1176453;[2];6.179284334182739;sos/OTHER_a/DET_person/NOUN_clap/VERB_four/NUM_time/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_quickly/ADV_bring/VERB_their/PRON_hand/NOUN_together/ADV_four/NUM_time/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];3.8950307;[3];10.074315071105957;sos/OTHER_a/DET_man/NOUN_crouch/NOUN_and/CCONJ_punch/VERB_the/DET_air/NOUN_with/ADP_his/PRON_left/ADJ_hand/NOUN_He/PRON_does/AUX_so/ADV_by/ADP_swiftly/ADV_bend/VERB_his/PRON_knee/NOUN_and/CCONJ_eos/OTHER
[1];2.3608654;[4];12.435180425643921;sos/OTHER_a/DET_man/NOUN_is/AUX_lift/VERB_his/PRON_left/ADJ_arm/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_raise/VERB_his/PRON_left/ADJ_arm/NOUN_upwards/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];5.6767826;[5];18.111963033676147;sos/OTHER_a/DET_man/NOUN_is/AUX_run/VERB_with/ADP_arm/NOUN_at/ADP_side/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_rhythmically/ADV_swinge/VERB_their/PRON_arm/NOUN_back/ADV_and/CCONJ_forth/ADV_eos/OTHER_unk/OTHER
[1];2.3571362;[6];20.469099283218384;sos/OTHER_a/DET_person/NOUN_run/VERB_forward/ADV_and/CCONJ_to/ADP_his/PRON_left/NOUN_and/CCONJ_jump/VERB_over/ADP_something/PRON_midway/ADV_They/PRON_do/AUX_so/ADV_by/ADP_propel/VERB_themselves/PRON_forward/ADV_eos/OTHER
[1];2.343579;[7];22.812678337097168;sos/OTHER_person/NOUN_walk/VERB_quickly/ADV_down/ADP_a/DET_short/ADJ_incline/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_briskly/ADV_descend/VERB_with/ADP_their/PRON_leg/NOUN_move/VERB_in/ADP_a/DET_coordinated/ADJ_eos/OTHER
[1];3.4259639;[8];26.23864221572876;sos/OTHER_the/DET_man/NOUN_is/AUX_march/VERB_like/ADP_a/DET_soldier/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_lift/VERB_and/CCONJ_swinge/VERB_his/PRON_leg/NOUN_in/ADP_a/DET_coordinated/ADJ_fashion/NOUN_eos/OTHER
[1];2.5380375;[9];28.776679754257202;sos/OTHER_a/DET_man/NOUN_jump/VERB_from/ADP_left/VERB_to/ADP_right/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_push/VERB_off/ADP_with/ADP_his/PRON_foot/NOUN_and/CCONJ_propel/VERB_his/PRON_body/NOUN_eos/OTHER
[1];7.8355203;[10];36.612200021743774;sos/OTHER_a/DET_person/NOUN_is/AUX_stand/VERB_and/CCONJ_lose/VERB_his/PRON_balance/NOUN_almost/ADV_fall/VERB_but/CCONJ_catch/VERB_himself/PRON_They/PRON_do/VERB_so/ADV_by/ADP_quickly/ADV_shift/VERB_their/PRON_eos/OTHER
[1];1.711584;[11];38.32378399372101;sos/OTHER_the/DET_person/NOUN_quickly/ADV_walk/VERB_forward/ADV_and/CCONJ_pick/VERB_something/PRON_up/ADP_They/PRON_do/VERB_so/ADV_by/ADP_smoothly/ADV_extend/VERB_and/CCONJ_flex/VERB_their/PRON_arm/NOUN_and/CCONJ_eos/OTHER
[1];4.452587;[12];42.776371121406555;sos/OTHER_a/DET_person/NOUN_do/VERB_basketball/NOUN_gesture/NOUN_for/ADP_timeout/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_raise/VERB_their/PRON_hand/NOUN_towards/ADP_the/DET_referee/NOUN_to/PART_signal/VERB_timeout/NOUN_eos/OTHER
[1];2.6854184;[13];45.46178948879242;sos/OTHER_the/DET_person/NOUN_place/VERB_his/PRON_left/ADJ_hand/NOUN_on/ADP_a/DET_seat/NOUN_and/CCONJ_sit/VERB_down/ADV_They/PRON_do/VERB_so/ADV_by/ADP_lower/VERB_their/PRON_weight/NOUN_and/CCONJ_eos/OTHER
[1];2.3837202;[14];47.84550964832306;sos/OTHER_a/DET_man/NOUN_grab/VERB_an/DET_object/NOUN_above/ADP_his/PRON_head/NOUN_with/ADP_his/PRON_right/ADJ_hand/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_reach/VERB_above/ADP_his/PRON_head/NOUN_eos/OTHER
[1];1.632878;[15];49.47838759422302;sos/OTHER_a/DET_man/NOUN_jump/VERB_and/CCONJ_bring/VERB_both/DET_arm/NOUN_above/ADP_his/PRON_head/NOUN_as/SCONJ_he/PRON_spread/VERB_his/PRON_leg/NOUN_and/CCONJ_then/ADV_move/VERB_them/PRON_back/ADV_eos/OTHER
[1];3.3586369;[16];52.837024450302124;sos/OTHER_someone/PRON_who/PRON_is/AUX_waive/VERB_to/ADP_a/DET_person/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_repeatedly/ADV_rotate/VERB_their/PRON_arm/NOUN_outward/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];3.0130079;[17];55.850032329559326;sos/OTHER_a/DET_man/NOUN_hold/VERB_his/PRON_arm/NOUN_out/ADP_in/ADP_front/NOUN_of/ADP_him/PRON_in/ADP_a/DET_shrugging/NOUN_gesture/NOUN_then/ADV_bring/VERB_his/PRON_arm/NOUN_down/ADP_to/ADP_eos/OTHER
[1];2.0386622;[18];57.888694524765015;sos/OTHER_a/DET_person/NOUN_clasp/VERB_his/PRON_hand/NOUN_in/ADP_front/NOUN_of/ADP_him/PRON_then/ADV_swing/VERB_his/PRON_clasped/ADJ_hand/NOUN_back/ADV_and/CCONJ_forth/ADV_They/PRON_do/VERB_so/ADV_eos/OTHER
[1];2.1790538;[19];60.06774830818176;sos/OTHER_character/NOUN_is/AUX_move/VERB_slowly/ADV_before/ADP_move/VERB_into/ADP_a/DET_moderate/ADJ_jog/NOUN_They/PRON_transition/VERB_by/ADP_gradually/ADV_increase/VERB_the/DET_speed/NOUN_of/ADP_their/PRON_leg/NOUN_eos/OTHER
[1];3.116845;[20];63.184593200683594;sos/OTHER_a/DET_person/NOUN_walk/VERB_diagonally/ADV_backwards/ADV_They/PRON_do/VERB_so/ADV_by/ADP_step/VERB_back/ADV_and/CCONJ_to/ADP_the/DET_side/NOUN_with/ADP_each/DET_step/NOUN_eos/OTHER_unk/OTHER_unk/OTHER
[1];5.8906174;[21];69.07521057128906;sos/OTHER_walk/VERB_side/NOUN_way/NOUN_but/CCONJ_back/ADV_and/CCONJ_forth/ADV_They/PRON_do/VERB_so/ADV_by/ADP_shuffle/VERB_their/PRON_foot/NOUN_side/NOUN_to/ADP_side/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
