temp_R;temp_match;R_precision;matching_score_pred;token
[1];3.6016622;[1];3.6016621589660645;sos/OTHER_a/DET_man/NOUN_step/VERB_forward/ADV_hold/VERB_an/DET_object/NOUN_to/ADP_his/PRON_head/NOUN_with/ADP_his/PRON_right/ADJ_hand/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_shift/VERB_his/PRON_weight/NOUN_forward/ADV_and/CCONJ_raise/VERB_his/PRON_right/ADJ_hand/NOUN_to/ADP_his/PRON_head/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];3.1176453;[2];6.7193074226379395;sos/OTHER_a/DET_person/NOUN_clap/VERB_four/NUM_time/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_quickly/ADV_bring/VERB_their/PRON_hand/NOUN_together/ADV_four/NUM_time/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];4.34793;[3];11.067237377166748;sos/OTHER_a/DET_man/NOUN_crouch/NOUN_and/CCONJ_punch/VERB_the/DET_air/NOUN_with/ADP_his/PRON_left/ADJ_hand/NOUN_He/PRON_does/AUX_so/ADV_by/ADP_swiftly/ADV_bend/VERB_his/PRON_knee/NOUN_and/CCONJ_thrust/VERB_his/PRON_left/ADJ_arm/NOUN_forward/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];2.3608654;[4];13.428102731704712;sos/OTHER_a/DET_man/NOUN_is/AUX_lift/VERB_his/PRON_left/ADJ_arm/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_raise/VERB_his/PRON_left/ADJ_arm/NOUN_upwards/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];5.6767826;[5];19.10488533973694;sos/OTHER_a/DET_man/NOUN_is/AUX_run/VERB_with/ADP_arm/NOUN_at/ADP_side/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_rhythmically/ADV_swinge/VERB_their/PRON_arm/NOUN_back/ADV_and/CCONJ_forth/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];2.9338408;[6];22.038726091384888;sos/OTHER_a/DET_person/NOUN_run/VERB_forward/ADV_and/CCONJ_to/ADP_his/PRON_left/NOUN_and/CCONJ_jump/VERB_over/ADP_something/PRON_midway/ADV_They/PRON_do/AUX_so/ADV_by/ADP_propel/VERB_themselves/PRON_forward/ADV_and/CCONJ_to/ADP_the/DET_left/NOUN_then/ADV_launch/VERB_themselves/PRON_off/ADP_the/DET_ground/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];2.2152123;[7];24.25393843650818;sos/OTHER_person/NOUN_walk/VERB_quickly/ADV_down/ADP_a/DET_short/ADJ_incline/NOUN_They/PRON_do/VERB_so/ADV_by/ADP_briskly/ADV_descend/VERB_with/ADP_their/PRON_leg/NOUN_move/VERB_in/ADP_a/DET_coordinated/ADJ_step/VERB_motion/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];3.4259639;[8];27.67990231513977;sos/OTHER_the/DET_man/NOUN_is/AUX_march/VERB_like/ADP_a/DET_soldier/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_lift/VERB_and/CCONJ_swinge/VERB_his/PRON_leg/NOUN_in/ADP_a/DET_coordinated/ADJ_fashion/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];2.503111;[9];30.183013200759888;sos/OTHER_a/DET_man/NOUN_jump/VERB_from/ADP_left/VERB_to/ADP_right/NOUN_He/PRON_do/VERB_so/ADV_by/ADP_push/VERB_off/ADP_with/ADP_his/PRON_foot/NOUN_and/CCONJ_propel/VERB_his/PRON_body/NOUN_sideway/VERB_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
[1];7.300133;[10];37.48314642906189;sos/OTHER_a/DET_person/NOUN_is/AUX_stand/VERB_and/CCONJ_lose/VERB_his/PRON_balance/NOUN_almost/ADV_fall/VERB_but/CCONJ_catch/VERB_himself/PRON_They/PRON_do/VERB_so/ADV_by/ADP_quickly/ADV_shift/VERB_their/PRON_weight/NOUN_to/PART_regain/VERB_stability/NOUN_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
