idx;temp_match;token
0;5.209416;sos/OTHER_The/DET_person/NOUN_stands/VERB_with/ADP_their/PRON_legs/NOUN_apart/ADV_,/PUNCT_arms/NOUN_relaxed/VERB_at/ADP_their/PRON_sides/NOUN_./PUNCT_As/SCONJ_they/PRON_start/VERB_to/ADP_clap/NOUN_,/PUNCT_their/PRON_upper/ADJ_torso/NOUN_leans/VERB_forward/ADV_slightly/ADV_,/PUNCT_while/SCONJ_their/PRON_lower/ADJ_torso/NOUN_remains/VERB_still/ADV_./PUNCT_Their/PRON_hands/NOUN_rise/VERB_up/ADP_from/ADP_their/PRON_sides/NOUN_,/PUNCT_palms/NOUN_facing/VERB_each/DET_other/ADJ_as/SCONJ_they/PRON_come/VERB_together/ADV_in/ADP_a/DET_clapping/NOUN_motion/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
1;4.7736583;sos/OTHER_the/DET_person/NOUN_starts/VERB_by/ADP_jogging/VERB_diagonally/ADV_to/ADP_their/PRON_right/NOUN_,/PUNCT_with/ADP_their/PRON_legs/NOUN_moving/VERB_in/ADP_a/DET_smooth/ADJ_motion/NOUN_./PUNCT_As/SCONJ_they/PRON_approach/VERB_the/DET_end/NOUN_of/ADP_this/DET_diagonal/ADJ_path/NOUN_,/PUNCT_they/PRON_slow/VERB_down/ADP_and/CCONJ_transition/VERB_into/ADP_a/DET_walk/NOUN_,/PUNCT_keeping/VERB_their/PRON_arms/NOUN_relaxed/VERB_at/ADP_their/PRON_sides/NOUN_./PUNCT_Their/PRON_torso/NOUN_remains/VERB_upright/ADJ_throughout/ADP_the/DET_motion/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
2;4.52184;sos/OTHER_The/DET_person/NOUN_starts/VERB_by/ADP_running/VERB_in/ADP_a/DET_straight/ADJ_line/NOUN_,/PUNCT_their/PRON_legs/NOUN_pumping/VERB_quickly/ADV_as/SCONJ_they/PRON_move/VERB_forward/ADV_./PUNCT_As/SCONJ_they/PRON_approach/VERB_the/DET_obstacle/NOUN_,/PUNCT_they/PRON_bring/VERB_their/PRON_arms/NOUN_in/ADP_close/ADV_to/ADP_their/PRON_body/NOUN_and/CCONJ_take/VERB_off/ADP_into/ADP_the/DET_air/NOUN_,/PUNCT_clearing/VERB_it/PRON_with/ADP_ease/NOUN_before/ADP_continuing/VERB_to/PART_run/VERB_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
3;8.3156395;sos/OTHER_As/SCONJ_the/DET_figure/NOUN_walks/VERB_forward/ADV_,/PUNCT_their/PRON_left/ADJ_leg/NOUN_extends/VERB_slightly/ADV_,/PUNCT_with/ADP_the/DET_right/ADJ_leg/NOUN_remaining/VERB_in/ADP_place/NOUN_./PUNCT_The/DET_torso/NOUN_remains/VERB_upright/ADJ_,/PUNCT_and/CCONJ_the/DET_neck/NOUN_is/AUX_held/VERB_steady/ADJ_,/PUNCT_while/SCONJ_the/DET_arms/NOUN_are/AUX_relaxed/VERB_at/ADP_the/DET_sides/NOUN_./PUNCT_As/SCONJ_they/PRON_bring/VERB_their/PRON_left/ADJ_foot/NOUN_back/ADV_to/PART_meet/VERB_their/PRON_right/NOUN_,/PUNCT_their/PRON_buttocks/NOUN_and/CCONJ_waist/NOUN_subtly/ADV_adjust/VERB_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
4;9.959748;sos/OTHER_A/DET_person/NOUN_stands/VERB_still/ADV_,/PUNCT_clasping/VERB_their/PRON_hands/NOUN_together/ADV_in/ADP_front/NOUN_of/ADP_them/PRON_./PUNCT_They/PRON_then/ADV_swing/VERB_their/PRON_clasped/ADJ_hands/NOUN_back/ADV_and/CCONJ_forth/ADV_between/ADP_their/PRON_torso/NOUN_and/CCONJ_the/DET_area/NOUN_just/ADV_above/ADP_their/PRON_waist/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
5;6.068769;sos/OTHER_As/SCONJ_the/DET_character/NOUN_begins/VERB_,/PUNCT_their/PRON_legs/NOUN_start/VERB_to/PART_move/VERB_slowly/ADV_,/PUNCT_with/ADP_each/DET_foot/NOUN_striking/VERB_the/DET_ground/NOUN_separately/ADV_./PUNCT_Their/PRON_arms/NOUN_swing/NOUN_slightly/ADV_by/ADP_their/PRON_sides/NOUN_,/PUNCT_and/CCONJ_their/PRON_torso/NOUN_remains/VERB_relatively/ADV_still/ADV_./PUNCT_As/SCONJ_they/PRON_transition/VERB_into/ADP_a/DET_moderate/ADJ_jog/NOUN_,/PUNCT_their/PRON_legs/NOUN_move/VERB_in/ADP_sync/NOUN_,/PUNCT_with/ADP_their/PRON_arms/NOUN_pumping/VERB_up/ADP_and/CCONJ_down/ADV_in/ADP_a/DET_steady/ADJ_rhythm/NOUN_./PUNCT_The/DET_neck/NOUN_remains/VERB_relaxed/ADJ_,/PUNCT_while/SCONJ_the/DET_buttocks/NOUN_and/CCONJ_waist/NOUN_remain/VERB_firm/ADJ_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
6;10.392606;sos/OTHER_The/DET_person/NOUN_begins/VERB_by/ADP_standing/VERB_upright/NOUN_,/PUNCT_arms/NOUN_relaxed/VERB_by/ADP_their/PRON_sides/NOUN_./PUNCT_As/SCONJ_they/PRON_start/VERB_walking/VERB_diagonally/ADV_backwards/ADV_,/PUNCT_their/PRON_legs/NOUN_move/VERB_in/ADP_a/DET_straight/ADJ_line/NOUN_,/PUNCT_while/SCONJ_their/PRON_torso/NOUN_twists/VERB_slightly/ADV_to/PART_accommodate/VERB_the/DET_diagonal/ADJ_path/NOUN_./PUNCT_Their/PRON_neck/NOUN_remains/VERB_relatively/ADV_still/ADV_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
7;4.6056046;sos/OTHER_As/SCONJ_the/DET_person/NOUN_walks/VERB_sideways/ADV_but/CCONJ_back/ADV_and/CCONJ_forth/ADV_,/PUNCT_their/PRON_arms/NOUN_relax/VERB_by/ADP_their/PRON_sides/NOUN_,/PUNCT_while/SCONJ_their/PRON_legs/NOUN_move/VERB_in/ADP_a/DET_slow/ADJ_and/CCONJ_deliberate/ADJ_manner/NOUN_./PUNCT_Their/PRON_torso/NOUN_sways/VERB_gently/ADV_as/SCONJ_they/PRON_shift/VERB_their/PRON_weight/NOUN_from/ADP_one/NUM_side/NOUN_to/ADP_the/DET_other/ADJ_./PUNCT_The/DET_neck/NOUN_remains/VERB_steady/ADJ_,/PUNCT_with/ADP_the/DET_head/NOUN_held/VERB_high/ADJ_./PUNCT_The/DET_buttocks/NOUN_and/CCONJ_waist/NOUN_do/AUX_not/PART_move/VERB_significantly/ADV_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
8;2.834767;sos/OTHER_A/DET_person/NOUN_starts/VERB_by/ADP_standing/VERB_upright/ADV_with/ADP_their/PRON_legs/NOUN_shoulder/NOUN_-/PUNCT_width/NOUN_apart/ADV_and/CCONJ_their/PRON_torso/NOUN_straight/ADV_./PUNCT_As/SCONJ_they/PRON_reach/VERB_forward/ADV_with/ADP_the/DET_right/ADJ_hand/NOUN_,/PUNCT_their/PRON_arm/NOUN_extends/VERB_from/ADP_the/DET_shoulder/NOUN_,/PUNCT_palm/NOUN_facing/VERB_down/ADV_,/PUNCT_and/CCONJ_their/PRON_elbow/NOUN_bends/VERB_slightly/ADV_./PUNCT_The/DET_right/ADJ_leg/NOUN_remains/VERB_steady/ADJ_on/ADP_the/DET_ground/NOUN_,/PUNCT_while/SCONJ_the/DET_left/ADJ_leg/NOUN_is/AUX_relaxed/ADJ_but/CCONJ_still/ADV_bears/VERB_some/DET_weight/NOUN_./PUNCT_The/DET_neck/NOUN_and/CCONJ_waist/NOUN_remain/VERB_neutral/ADJ_./PUNCT_Then/ADV_,/PUNCT_as/SCONJ_their/PRON_arm/NOUN_eos/OTHER
9;7.580728;sos/OTHER_As/SCONJ_the/DET_person/NOUN_steps/VERB_backwards/ADV_with/ADP_their/PRON_left/ADJ_foot/NOUN_,/PUNCT_they/PRON_stretch/VERB_,/PUNCT_with/SCONJ_their/PRON_right/ADJ_arm/NOUN_outstretched/VERB_and/CCONJ_hand/NOUN_grasping/NOUN_for/ADP_something/PRON_behind/ADP_them/PRON_./PUNCT_Their/PRON_legs/NOUN_move/VERB_backward/ADV_in/ADP_a/DET_slow/ADJ_motion/NOUN_./PUNCT_The/DET_rest/NOUN_of/ADP_their/PRON_body/NOUN_remains/VERB_still/ADV_,/PUNCT_with/ADP_arms/NOUN_at/ADP_their/PRON_sides/NOUN_and/CCONJ_legs/NOUN_slightly/ADV_bent/ADJ_at/ADP_the/DET_knees/NOUN_./PUNCT_The/DET_torso/NOUN_is/AUX_upright/ADJ_,/PUNCT_and/CCONJ_the/DET_neck/NOUN_is/AUX_relaxed/VERB_./PUNCT_The/DET_buttocks/NOUN_and/CCONJ_waist/NOUN_remain/VERB_stationary/ADJ_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
