idx;temp_match;token
0;11.144432;sos/OTHER_With/ADP_a/DET_swift/ADJ_movement/NOUN_,/PUNCT_the/DET_palms/NOUN_of/ADP_the/DET_hands/NOUN_meet/VERB_in/ADP_the/DET_center/NOUN_,/PUNCT_fingers/NOUN_entwined/VERB_,/PUNCT_and/CCONJ_then/ADV_separate/VERB_again/ADV_with/ADP_a/DET_soft/ADJ_slapping/NOUN_sound/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
1;5.963466;sos/OTHER_As/SCONJ_the/DET_jog/NOUN_begins/VERB_,/PUNCT_the/DET_body/NOUN_starts/VERB_to/PART_move/VERB_laterally/ADV_and/CCONJ_forward/ADV_,/PUNCT_with/ADP_the/DET_weight/NOUN_shifting/VERB_onto/ADP_one/NUM_leg/NOUN_as/SCONJ_the/DET_other/ADJ_foot/NOUN_is/AUX_brought/VERB_off/ADP_the/DET_ground/NOUN_./PUNCT_The/DET_legs/NOUN_bend/VERB_and/CCONJ_straighten/VERB_alternately/ADV_in/ADP_a/DET_smooth/ADJ_,/PUNCT_rhythmic/ADJ_motion/NOUN_,/PUNCT_while/SCONJ_the/DET_upper/ADJ_body/NOUN_undulates/VERB_slightly/ADV_due/ADP_to/ADP_the/DET_momentum/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
2;8.42318;sos/OTHER_The/DET_motion/NOUN_begins/VERB_with/ADP_the/DET_individual/NOUN_'s/PART_entire/ADJ_body/NOUN_moving/VERB_forward/ADV_in/ADP_a/DET_fluid/NOUN_,/PUNCT_alternating/VERB_pattern/NOUN_,/PUNCT_with/ADP_their/PRON_legs/NOUN_pumping/VERB_up/ADP_and/CCONJ_down/ADV_and/CCONJ_their/PRON_arms/NOUN_swinging/VERB_by/ADP_their/PRON_sides/NOUN_./PUNCT_As/SCONJ_they/PRON_approach/VERB_the/DET_obstacle/NOUN_,/PUNCT_they/PRON_suddenly/ADV_propel/VERB_themselves/PRON_upward/ADV_,/PUNCT_using/VERB_the/DET_force/NOUN_of/ADP_their/PRON_momentum/NOUN_to/PART_clear/VERB_the/DET_barrier/NOUN_before/ADP_landing/VERB_softly/ADV_on/ADP_both/DET_feet/NOUN_and/CCONJ_continuing/VERB_their/PRON_swift/ADJ_pace/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
3;3.9017825;sos/OTHER_a/DET_figure/NOUN_walk/VERB_forward/ADV_lightly/ADV_kick/VERB_one/NUM_foot/NOUN_out/ADP_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
4;6.0252795;sos/OTHER_a/DET_person/NOUN_clasp/VERB_his/DET_hand/NOUN_in/ADP_front/NOUN_of/ADP_him/PRON_then/ADV_swing/VERB_his/DET_clasped/ADJ_hand/NOUN_back/ADV_and/CCONJ_forth/ADV_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
5;5.471764;sos/OTHER_The/DET_character/NOUN_begins/VERB_by/ADP_shifting/VERB_their/PRON_weight/NOUN_slightly/ADV_,/PUNCT_transferring/VERB_their/PRON_stance/NOUN_from/ADP_one/NUM_foot/NOUN_to/ADP_the/DET_other/ADJ_as/SCONJ_they/PRON_transition/VERB_from/ADP_standing/VERB_still/ADV_to/ADP_taking/VERB_small/ADJ_,/PUNCT_slow/ADJ_steps/NOUN_./PUNCT_As/SCONJ_they/PRON_gather/VERB_momentum/NOUN_,/PUNCT_their/PRON_stride/NOUN_lengthens/VERB_and/CCONJ_their/PRON_pace/NOUN_quickens/VERB_,/PUNCT_arms/NOUN_relaxing/VERB_at/ADP_their/PRON_sides/NOUN_and/CCONJ_legs/NOUN_pumping/VERB_in/ADP_a/DET_steady/ADJ_rhythm/NOUN_as/SCONJ_they/PRON_move/VERB_into/ADP_a/DET_moderate/ADJ_jog/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
6;6.9457617;sos/OTHER_With/ADP_feet/NOUN_shoulder/NOUN_-/PUNCT_width/NOUN_apart/ADV_,/PUNCT_the/DET_person/NOUN_'s/PART_legs/NOUN_shift/VERB_diagonally/ADV_in/ADP_reverse/ADJ_motion/NOUN_,/PUNCT_each/DET_foot/NOUN_gliding/VERB_along/ADP_the/DET_ground/NOUN_while/SCONJ_the/DET_knees/NOUN_slightly/ADV_bend/VERB_and/CCONJ_straighten/VERB_./PUNCT_As/SCONJ_they/PRON_back/VERB_away/ADV_,/PUNCT_their/PRON_hips/NOUN_subtly/ADV_pivot/NOUN_,/PUNCT_adjusting/VERB_to/PART_maintain/VERB_balance/NOUN_as/SCONJ_the/DET_momentum/NOUN_builds/VERB_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
7;4.1568136;sos/OTHER_With/ADP_deliberate/ADJ_slowness/NOUN_,/PUNCT_the/DET_individual/NOUN_initiates/VERB_a/DET_lateral/ADJ_movement/NOUN_,/PUNCT_shifting/VERB_their/PRON_center/NOUN_of/ADP_mass/NOUN_from/ADP_one/NUM_side/NOUN_to/ADP_the/DET_other/ADJ_while/SCONJ_maintaining/VERB_a/DET_consistent/ADJ_forward/ADJ_progression/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
8;8.652935;sos/OTHER_The/DET_person/NOUN_extends/VERB_their/PRON_right/ADJ_arm/NOUN_forward/ADV_,/PUNCT_rotating/VERB_it/PRON_outward/ADV_around/ADP_a/DET_vertical/ADJ_axis/NOUN_while/SCONJ_simultaneously/ADV_increasing/VERB_its/PRON_elevation/NOUN_./PUNCT_Then/ADV_,/PUNCT_as/SCONJ_they/PRON_release/VERB_their/PRON_arm/NOUN_,/PUNCT_it/PRON_slowly/ADV_descends/VERB_back/ADV_down/ADV_to/ADP_their/PRON_side/NOUN_,/PUNCT_its/PRON_trajectory/NOUN_curving/VERB_inward/ADV_in/ADP_a/DET_smooth/ADJ_motion/NOUN_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
9;4.940775;sos/OTHER_The/DET_person/NOUN_initiates/VERB_backward/ADJ_movement/NOUN_by/ADP_extending/VERB_their/PRON_left/ADJ_leg/NOUN_,/PUNCT_transferring/VERB_weight/NOUN_onto/ADP_their/PRON_right/ADJ_leg/NOUN_./PUNCT_As/SCONJ_they/PRON_step/VERB_back/ADV_,/PUNCT_the/DET_left/ADJ_leg/NOUN_glides/NOUN_smoothly/ADV_backward/ADV_while/SCONJ_the/DET_body/NOUN_maintains/VERB_its/PRON_posture/NOUN_,/PUNCT_accompanied/VERB_by/ADP_a/DET_gentle/ADJ_stretch/NOUN_of/ADP_the/DET_torso/NOUN_,/PUNCT_as/SCONJ_the/DET_spine/NOUN_lengthens/VERB_and/CCONJ_the/DET_ribcage/NOUN_expands/VERB_./PUNCT_eos/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER_unk/OTHER
